"Class Name - Allocated Objects","Bytes Allocated","Bytes Allocated","Objects Allocated"
"sun.misc.RegexpNode","0.00%","280","34"
"javax.swing.Timer","0.00%","280","24"
"sun.java2d.loops.GraphicsPrimitiveProxy","0.00%","280","19"
"java.util.LinkedHashMap$Entry","0.00%","280","29"
"java.awt.BorderLayout","0.00%","280","20"
"javax.swing.JComponent$2","0.00%","272","68"
"sun.font.TrueTypeFont","0.00%","272","8"
"java.io.SequenceInputStream","0.00%","264","54"
"javax.swing.JRootPane$1","0.00%","256","16"
"sun.java2d.loops.RenderLoops","0.00%","256","12"
"com.apple.laf.AquaButtonUI$AquaButtonListener","0.00%","256","36"
"java.io.FileOutputStream","0.00%","256","33"
"java.lang.UNIXProcess$DeferredCloseInputStream","0.00%","240","22"
"java.awt.event.ItemEvent","0.00%","240","22"
"com.apple.laf.AquaUtilControlSize$SizeVariant","0.00%","240","24"
"java.lang.Double","0.00%","240","45"
"java.util.TimerThread","0.00%","240","8"
"java.io.ObjectStreamClass$MemberSignature","0.00%","240","42"
"apple.laf.JRSUIControl","0.00%","240","21"
"sun.java2d.loops.RenderCache$Entry[]","0.00%","232","7"
"java.util.ResourceBundle$LoaderReference","0.00%","224","37"
"org.netbeans.lib.awtextra.AbsoluteConstraints","0.00%","224","24"
"sun.misc.URLClassPath$1","0.00%","224","28"
"java.lang.UNIXProcess","0.00%","224","11"
"java.lang.Thread[]","0.00%","224","4"
"javax.swing.GroupLayout$GapSpring","0.00%","224","16"
"javax.swing.ImageIcon$2$1","0.00%","224","1"
"javax.swing.ImageIcon$3","0.00%","224","1"
"java.awt.Font","0.00%","216","16"
"javax.swing.KeyboardManager$ComponentKeyStrokePair","0.00%","216","40"
"sun.awt.RepaintArea","0.00%","208","50"
"sun.net.www.protocol.http.HttpURLConnection","0.00%","208","2"
"sun.awt.image.GifImageDecoder","0.00%","192","5"
"sun.awt.image.ImageConsumerQueue","0.00%","192","28"
"apple.laf.JRSUIState","0.00%","192","28"
"sun.awt.image.URLImageSource","0.00%","192","23"
"javax.imageio.ImageIO$ImageWriterIterator","0.00%","192","54"
"sun.nio.cs.MacRoman$Decoder","0.00%","192","17"
"sun.font.EAttribute[]","0.00%","192","8"
"java.util.TreeMap","0.00%","192","15"
"java.util.WeakHashMap","0.00%","192","14"
"java.awt.image.IndexColorModel","0.00%","192","7"
"java.awt.LightweightDispatcher","0.00%","192","17"
"java.awt.KeyboardFocusManager$LightweightFocusRequest","0.00%","192","30"
"java.util.logging.Logger","0.00%","192","13"
"java.util.regex.Pattern$SliceI","0.00%","192","30"
"sun.font.EAttribute","0.00%","192","24"
"java.awt.GridBagLayoutInfo","0.00%","192","10"
"java.util.ResourceBundle$BundleReference","0.00%","192","13"
"sun.net.www.protocol.jar.JarURLConnection","0.00%","176","6"
"javax.swing.event.ChangeEvent","0.00%","176","46"
"java.io.ObjectStreamClass$MemberSignature[]","0.00%","176","12"
"java.util.Locale[]","0.00%","176","25"
"java.nio.ByteBufferAsIntBufferB","0.00%","168","8"
"java.awt.DefaultKeyboardFocusManager$TypeAheadMarker","0.00%","168","32"
"sun.misc.CompoundEnumeration","0.00%","168","28"
"javax.accessibility.AccessibleState","0.00%","168","29"
"sun.awt.SunHints$Value","0.00%","168","32"
"java.awt.Window[]","0.00%","168","39"
"com.bixly.pastevid.editors.VideoScrubManager$2","0.00%","168","32"
"sun.nio.cs.StreamEncoder","0.00%","168","13"
"java.util.Enumeration[]","0.00%","168","28"
"sun.font.FontDesignMetrics","0.00%","160","7"
"sun.net.www.protocol.jar.URLJarFile$URLJarFileEntry","0.00%","160","6"
"javax.swing.GroupLayout$BaselineGroup","0.00%","160","4"
"sun.font.TrueTypeFont$DirectoryEntry[]","0.00%","160","8"
"java.awt.EventQueueItem[]","0.00%","160","16"
"java.lang.Boolean","0.00%","160","43"
"com.bric.io.GuardedOutputStream","0.00%","160","18"
"sun.java2d.loops.RenderCache$Entry","0.00%","160","22"
"sun.misc.URLClassPath$2","0.00%","160","19"
"javax.swing.text.GapContent$MarkData","0.00%","160","12"
"java.lang.ref.ReferenceQueue","0.00%","160","21"
"com.sun.imageio.plugins.common.InputStreamAdapter","0.00%","160","49"
"java.util.concurrent.ConcurrentHashMap$Segment[]","0.00%","160","10"
"sun.nio.cs.MacRoman$Encoder","0.00%","144","8"
"sun.swing.SwingLazyValue$1","0.00%","144","22"
"java.net.URLClassLoader$3","0.00%","144","28"
"sun.awt.image.ImageWatched$WeakLink","0.00%","144","28"
"sun.awt.im.InputMethodLocator","0.00%","144","25"
"java.io.BufferedReader","0.00%","144","9"
"sun.nio.cs.StreamDecoder","0.00%","144","11"
"java.awt.KeyboardFocusManager$HeavyweightFocusRequest","0.00%","144","30"
"java.util.logging.LogManager$LogNode","0.00%","144","25"
"sun.font.AppleNativeStrike$GlyphInfoCache","0.00%","144","7"
"com.bixly.pastevid.recorders.AudioRecorder$AudioThread","0.00%","144","5"
"javax.swing.GroupLayout","0.00%","144","14"
"java.io.BufferedWriter","0.00%","144","11"
"com.bixly.pastevid.screencap.components.capturebox.CaptureBox","0.00%","136","1"
"com.bixly.pastevid.editors.VideoScrubManager$PreviewVideoWithAudio","0.00%","136","1"
"com.bixly.pastevid.download.DownloadFFMpeg","0.00%","136","1"
"com.bixly.pastevid.download.DownloadHandbrake","0.00%","136","1"
"sun.font.AppleNativeStrike","0.00%","128","7"
"com.bixly.pastevid.download.DownloadManager","0.00%","128","1"
"com.bixly.pastevid.screencap.components.preview.PreviewPlayer$1","0.00%","128","37"
"java.awt.EventDispatchThread","0.00%","128","1"
"javax.sound.sampled.AudioInputStream","0.00%","128","7"
"java.awt.geom.Path2D$Float","0.00%","128","13"
"javax.imageio.spi.DigraphNode","0.00%","128","17"
"javax.swing.AbstractButton$Handler","0.00%","128","36"
"sun.awt.image.PNGFilterInputStream","0.00%","120","23"
"javax.swing.text.WrappedPlainView","0.00%","120","1"
"com.sun.media.sound.HAEShutdownHook","0.00%","120","1"
"it.sauronsoftware.jave.locators.ProcessKiller","0.00%","120","3"
"com.bric.qt.io.MovieHeaderAtom","0.00%","120","1"
"javax.swing.plaf.basic.BasicRootPaneUI$RootPaneInputMap","0.00%","120","16"
"javax.swing.plaf.basic.BasicLookAndFeel$AudioAction","0.00%","120","13"
"com.bixly.pastevid.screencap.RecorderPanel$ProcessVideoThread","0.00%","120","1"
"com.bixly.pastevid.screencap.RecorderPanel$OpenClientMediaPlayer","0.00%","120","1"
"com.bixly.pastevid.screencap.RecorderPanel$CompileAudioThread","0.00%","120","1"
"com.bixly.pastevid.recorders.VideoRecorder$CaptureImagesThread","0.00%","120","1"
"javax.swing.DefaultBoundedRangeModel","0.00%","120","12"
"javax.swing.ComponentInputMap","0.00%","120","18"
"com.bixly.pastevid.recorders.AudioCache$1","0.00%","120","2"
"com.bixly.pastevid.ipc.InstanceManager","0.00%","120","1"
"com.apple.laf.AquaSliderUI","0.00%","120","2"
"sun.misc.Service$LazyIterator","0.00%","120","15"
"com.apple.laf.AquaPainter$DirectOSXSurfacePainter","0.00%","120","19"
"com.apple.laf.AquaKeyBindings$LateBoundInputMap","0.00%","120","19"
"com.apple.laf.AquaKeyBindings$BindingsProvider[]","0.00%","120","19"
"com.apple.laf.AquaCaret","0.00%","120","2"
"java.net.SocksSocketImpl","0.00%","120","2"
"java.util.TreeMap$Entry","0.00%","120","14"
"sun.awt.image.ImageFetcher","0.00%","112","3"
"sun.security.action.LoadLibraryAction","0.00%","112","28"
"java.lang.Thread","0.00%","112","6"
"java.nio.ByteBufferAsShortBufferB","0.00%","112","8"
"com.bixly.pastevid.util.LogUtil$LogWorkerThread","0.00%","112","1"
"java.net.URLClassLoader$3$1","0.00%","112","28"
"java.net.URLConnection$1","0.00%","112","28"
"java.lang.ClassLoader$3","0.00%","112","31"
"apple.awt.CImage","0.00%","112","6"
"java.util.LinkedHashMap","0.00%","112","8"
"javax.swing.UIDefaults$LazyInputMap","0.00%","112","31"
"com.sun.media.sound.PCMtoPCMCodec$PCMtoPCMCodecStream","0.00%","112","1"
"javax.swing.SizeRequirements[]","0.00%","104","16"
"java.io.ObjectStreamClass","0.00%","104","4"
"java.io.ObjectStreamField[]","0.00%","104","12"
"javax.swing.KeyStroke[]","0.00%","104","16"
"com.bixly.pastevid.util.view.JSliderCustomKnob","0.00%","104","2"
"apple.awt.CInputMethod","0.00%","96","6"
"sun.nio.cs.ISO_8859_1$Encoder","0.00%","96","9"
"java.io.ByteArrayOutputStream","0.00%","96","14"
"java.util.regex.Pattern$BnM","0.00%","96","12"
"java.io.BufferedOutputStream","0.00%","96","16"
"com.bixly.pastevid.screencap.components.capturebox.CaptureBox$2","0.00%","96","11"
"com.apple.laf.AquaIcon$SystemIcon","0.00%","96","7"
"java.util.regex.Pattern$Slice","0.00%","96","13"
